subject_id,Runtime_mod,Task_name,Deliberate_response,Intrusive_response,Knowledge_response,Images_response,Past_response,Self_response,Distracting_response,Emotion_response,Absorption_response,Detailed_response,Words_response,Focus_response,Problem_response,Future_response,Other_response,Sounds_response
subject_3,13,Viewfinder,5.499999999999999,1.9000000000000008,4.200000000000003,9.099999999999984,3.3999999999999995,8.59999999999999,1.100000000000001,6.0,7.699999999999994,4.0,1.0,1.4999999999999991,6.699999999999994,5.200000000000002,2.099999999999997,1.5999999999999992
subject_3,13,Viewfinder,6.699999999999995,1.4000000000000046,5.500000000000004,9.799999999999985,6.299999999999998,8.399999999999986,1.0,7.200000000000006,7.999999999999992,6.9,1.4000000000000117,1.0,9.0,6.7999999999999945,1.400000000000008,2.4000000000000083
subject_3,12,The_Long_Dark,9.0,1.6000000000000116,7.500000000000008,8.79999999999999,3.200000000000005,10.0,2.2000000000000046,5.800000000000012,7.3999999999999915,8.299999999999995,2.9000000000000123,1.8999999999999984,9.299999999999986,7.599999999999992,1.0,3.0
subject_3,12,The_Long_Dark,8.300000000000002,2.200000000000012,6.1999999999999975,9.199999999999985,5.900000000000015,9.699999999999998,1.4000000000000046,7.999999999999992,8.999999999999991,8.0,2.700000000000016,1.2000000000000002,8.699999999999989,8.499999999999988,2.000000000000001,2.2000000000000046
subject_3,12,The_Long_Dark,7.600000000000001,2.400000000000005,6.299999999999998,8.999999999999988,8.000000000000009,8.199999999999992,1.0,8.09999999999999,9.0,7.599999999999994,3.000000000000009,1.3999999999999977,9.099999999999987,8.299999999999995,1.000000000000015,1.3999999999999997
subject_3,-13,Wordle,7.899999999999991,3.6000000000000068,2.3999999999999986,3.1000000000000125,2.900000000000005,2.1999999999999997,1.3000000000000005,7.0999999999999925,7.899999999999991,8.09999999999999,9.099999999999987,3.299999999999998,7.499999999999992,7.699999999999991,1.7999999999999985,1.0
subject_3,-13,Wordle,7.8999999999999915,1.0,7.100000000000009,1.0,7.799999999999992,1.800000000000008,1.7999999999999976,4.100000000000007,8.000000000000004,2.3000000000000007,9.799999999999985,1.0,9.0,7.500000000000004,1.000000000000001,1.0
subject_3,-13,Wordle,8.099999999999987,2.0,9.0,2.0,9.199999999999989,1.6000000000000116,2.500000000000005,2.8000000000000163,7.0,7.900000000000007,10.0,4.000000000000017,9.099999999999987,8.899999999999997,2.3000000000000007,2.2999999999999985
subject_3,-6,NBA_2K24,9.0,6.0,10.0,8.699999999999989,7.199999999999991,7.899999999999991,2.8000000000000016,9.599999999999987,7.599999999999994,9.200000000000003,2.0,3.7999999999999994,8.300000000000006,7.599999999999992,6.800000000000009,4.0
subject_3,-6,NBA_2K24,7.69999999999999,5.199999999999998,10.0,7.599999999999992,5.999999999999999,9.099999999999987,3.0,10.0,9.0,9.0,2.300000000000016,5.399999999999999,9.0,10.0,6.4999999999999964,4.100000000000017
subject_3,-6,NBA_2K24,9.199999999999989,3.000000000000009,10.0,7.8999999999999915,7.299999999999992,8.29999999999999,3.100000000000002,10.0,7.799999999999992,9.0,3.6000000000000094,5.500000000000004,8.999999999999991,8.599999999999987,6.999999999999992,5.6
subject_4,-11,Viewfinder,6.200000000000006,1.0,7.499999999999996,5.999999999999999,7.1000000000000085,7.699999999999994,1.0,7.600000000000005,5.000000000000013,4.000000000000006,2.599999999999998,3.4000000000000004,1.0,1.0,9.0,3.0
subject_4,-11,Viewfinder,5.700000000000008,1.0,5.8,2.0,6.999999999999994,2.9999999999999982,1.0,8.700000000000005,2.3999999999999986,3.4999999999999987,2.500000000000005,1.0,6.0,2.4000000000000155,2.1999999999999984,6.999999999999992
subject_4,-11,Viewfinder,4.300000000000018,1.0,4.100000000000017,4.000000000000003,6.6999999999999975,7.69999999999999,1.7999999999999976,6.800000000000003,3.200000000000009,4.000000000000017,8.299999999999992,2.0,7.3999999999999915,3.0000000000000018,2.8000000000000047,2.0
subject_4,-11,(),6.0,1.0,6.499999999999997,6.399999999999998,6.299999999999998,7.79999999999999,2.9999999999999982,5.899999999999999,7.199999999999994,6.399999999999997,6.0,3.900000000000013,8.600000000000005,4.700000000000001,7.0,2.0
subject_4,13,Wordle,7.399999999999991,1.0,6.400000000000008,9.0,2.799999999999999,2.9000000000000012,2.599999999999997,6.899999999999994,6.9,8.0,10.0,9.299999999999992,8.09999999999999,5.9,1.0,2.0
subject_4,13,Wordle,8.899999999999988,1.0,6.0000000000000115,3.2000000000000126,3.0,2.8000000000000016,2.1999999999999984,5.699999999999998,8.799999999999988,7.499999999999996,9.0,10.0,7.499999999999994,4.500000000000002,3.7000000000000064,1.6000000000000116
subject_4,13,Wordle,7.999999999999992,1.0,6.400000000000006,1.6999999999999993,6.599999999999996,7.000000000000004,3.0,5.6,8.599999999999987,8.600000000000005,8.199999999999989,7.8999999999999915,7.0,3.9000000000000026,2.8000000000000047,1.0
