subject_id,Runtime_mod,Task_name,Deliberate_response,Absorption_response,Distracting_response,Past_response,Intrusive_response,Focus_response,Future_response,Images_response,Sounds_response,Words_response,Detailed_response,Knowledge_response,Problem_response,Self_response,Emotion_response,Other_response
subject_1,-12,NBA_2K24,8.0,1.0,2.3999999999999986,7.0000000000000115,8.399999999999986,2.7000000000000117,2.100000000000001,3.300000000000009,8.599999999999998,3.3999999999999995,1.5999999999999983,10.0,7.499999999999996,10.0,9.199999999999985,8.699999999999994
subject_1,-12,NBA_2K24,5.899999999999999,2.0,10.0,7.9999999999999964,6.1999999999999975,2.2000000000000157,7.499999999999992,9.199999999999989,7.3999999999999915,5.4,2.6999999999999984,8.59999999999999,10.0,8.0,7.200000000000002,8.09999999999999
subject_1,-12,NBA_2K24,3.6000000000000068,4.199999999999998,3.5000000000000164,7.8999999999999915,5.000000000000006,1.0,5.7,8.099999999999993,8.0,2.4000000000000155,3.7000000000000015,8.199999999999989,9.0,4.100000000000001,10.0,3.0
subject_1,7,SONIC_SUPERSTARS,3.0000000000000018,3.0000000000000053,3.8000000000000167,1.0,5.600000000000001,2.200000000000008,2.9999999999999987,8.600000000000005,9.599999999999994,1.0,3.0,7.700000000000008,7.200000000000006,1.0,10.0,1.0
subject_1,7,SONIC_SUPERSTARS,3.699999999999999,3.3000000000000127,1.6000000000000116,4.3000000000000025,6.700000000000005,2.4999999999999987,5.199999999999998,8.599999999999987,10.0,1.900000000000015,1.7000000000000082,7.099999999999996,7.800000000000003,1.8999999999999972,9.599999999999994,1.2000000000000046
subject_1,7,SONIC_SUPERSTARS,5.4,2.6000000000000116,2.0999999999999983,6.900000000000008,4.900000000000012,2.600000000000016,5.699999999999998,5.0,9.999999999999991,2.3000000000000047,3.300000000000009,6.400000000000013,8.799999999999994,5.8,9.4,2.6000000000000014
subject_1,11,Dirt_5,4.700000000000003,1.0,1.400000000000008,2.200000000000001,7.0,1.600000000000001,1.5000000000000149,1.2999999999999994,10.0,6.600000000000013,2.0,7.599999999999994,5.899999999999998,7.099999999999995,8.999999999999996,8.499999999999991
subject_1,11,Dirt_5,2.4000000000000083,2.200000000000008,1.800000000000001,1.9000000000000008,6.100000000000009,2.1000000000000147,3.0000000000000018,1.7000000000000082,9.299999999999988,3.5000000000000013,2.100000000000012,7.799999999999992,8.19999999999999,8.0,8.199999999999992,7.099999999999996
subject_1,11,Dirt_5,4.0,1.9000000000000081,1.0,2.8,4.0,1.0,3.400000000000001,2.200000000000001,9.599999999999987,6.6000000000000085,1.2000000000000046,8.09999999999999,10.0,7.799999999999992,8.599999999999987,8.699999999999994
subject_1,13,Duck_Hunting,4.2000000000000135,2.1999999999999984,1.4000000000000117,6.0,9.0,3.0,1.0,9.299999999999988,9.0,3.1000000000000125,1.7000000000000115,6.20000000000001,6.800000000000003,1.2999999999999972,9.69999999999999,10.0
subject_1,13,Duck_Hunting,3.5000000000000133,2.6000000000000014,1.0,1.0,7.0,1.0,2.499999999999998,7.99999999999999,8.000000000000004,1.8000000000000116,2.900000000000005,7.0,10.0,7.1000000000000085,8.09999999999999,7.1000000000000085
subject_1,13,Duck_Hunting,3.0,1.7000000000000153,1.2999999999999994,2.499999999999998,6.799999999999994,6.30000000000001,1.0,7.399999999999995,9.0,3.0,2.2000000000000157,7.500000000000008,8.799999999999994,7.9999999999999885,10.0,1.7000000000000046
subject_3,-7,Dirt_5,5.100000000000009,9.0,2.3000000000000083,3.000000000000009,2.099999999999997,3.7000000000000064,6.1999999999999975,9.400000000000002,1.9000000000000044,4.100000000000009,4.000000000000001,5.3000000000000025,9.199999999999992,6.0,4.400000000000009,1.8999999999999992
